Ångström bar experiment:
Date: 17-10-2024
Start time: 13:57:41
Time   ,Heater status  ,Temp P   ,Temp Q   
803,0,21.3,21.1
804,0,21.3,21.1
806,0,21.2,21.2
806,0,21.3,21.1
807,0,21.3,21.1
808,0,21.3,21.1
809,0,21.3,21.1
811,0,21.2,21.1
811,0,21.3,21.1
812,0,21.3,21.1
813,0,21.3,21.3
814,0,21.3,21.1
815,0,21.2,21.3
816,0,21.4,21.2
818,0,21.3,21.2
819,0,21.3,21.2
819,0,21.3,21.1
820,0,21.2,21.2
821,0,21.3,21.1
822,0,21.3,21.1
823,0,21.3,21.2
824,0,21.2,21.1
825,0,21.3,21.1
826,0,21.2,21.2
827,0,21.2,21.3
828,0,21.3,21.3
830,0,21.2,21.1
831,0,21.3,21.1
832,0,21.3,21.1
832,0,21.3,21.1
833,0,21.3,21.2
834,0,21.3,21.1
836,0,21.3,21.1
837,0,21.2,21.1
838,0,21.2,21.1
838,0,21.3,21.3
839,0,21.3,21.1
841,0,21.3,21.0
841,0,21.3,21.1
843,0,21.3,21.1
843,0,21.3,21.1
844,0,21.3,21.1
845,0,21.3,21.1
846,0,21.3,21.2
848,0,21.2,21.1
849,0,21.2,21.1
849,0,21.3,21.2
850,0,21.3,21.1
851,0,21.3,21.2
852,0,21.3,21.2
854,0,21.3,21.2
855,0,21.3,21.3
855,0,21.3,21.2
856,0,21.3,21.1
857,0,21.2,21.1
858,0,21.2,21.1
859,0,21.3,21.1
860,0,21.3,21.1
861,0,21.3,21.1
862,0,21.2,21.1
863,0,21.3,21.3
864,0,21.3,21.0
866,0,21.3,21.2
867,0,21.3,21.2
868,0,21.2,21.2
868,0,21.3,21.1
869,0,21.2,21.3
871,0,21.3,21.1
871,0,21.3,21.1
872,0,21.3,21.3
873,0,21.3,21.1
874,0,21.3,21.2
875,0,21.3,21.1
876,0,21.3,21.1
877,0,21.1,21.2
878,0,21.3,21.1
879,0,21.3,21.1
880,0,21.3,21.1
881,0,21.3,21.3
882,0,21.2,21.3
883,0,21.3,21.1
884,0,21.3,21.1
886,0,21.3,21.1
887,0,21.3,21.1
888,0,21.3,21.1
888,0,21.3,21.3
889,0,21.3,21.1
891,0,21.3,21.1
891,0,21.3,21.1
892,0,21.2,21.2
893,0,21.4,21.1
894,0,21.3,21.2
896,0,21.3,21.2
896,0,21.3,21.2
897,0,21.3,21.1
899,0,21.3,21.0
899,0,21.2,21.2
900,0,21.3,21.2
901,0,21.4,21.2
902,0,21.3,21.0
903,0,21.2,21.2
904,0,21.3,21.1
905,0,21.3,21.1
906,0,21.3,21.2
907,0,21.3,21.1
908,0,21.3,21.1
909,0,21.3,21.1
910,0,21.3,21.1
912,0,21.3,21.2
912,0,21.1,21.1
913,0,21.3,21.1
914,0,21.3,21.3
915,0,21.3,21.1
916,0,21.3,21.1
917,0,21.3,21.1
918,0,21.2,21.2
919,0,21.2,21.1
920,0,21.3,21.2
921,0,21.3,21.1
923,0,21.3,21.1
923,0,21.3,21.2
924,0,21.3,21.2
925,0,21.2,21.1
927,0,21.3,21.1
928,0,21.3,21.1
929,0,21.3,21.2
929,0,21.3,21.1
930,0,21.3,21.1
931,0,21.2,21.1
